"Station Name","HERSCHEL ISLAND"
"Province","YUKON TERRITORY"
"Latitude","69.57"
"Longitude","-138.91"
"Elevation","1.20"
"Climate Identifier","2100636"
"WMO Identifier","71501"
"TC Identifier","WJN"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-01-01","2007","01","01","","","","","","","M","","M","","M","","","","","0.3","","","","","","",""
"2007-01-02","2007","01","02","","","","","","","M","","M","","M","","","","","0.9","","","","","","",""
"2007-01-03","2007","01","03","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-04","2007","01","04","","","","","","","M","","M","","M","","","","","1.1","","","","","","",""
"2007-01-05","2007","01","05","","","","","","","M","","M","","M","","","","","0.3","","","","","","",""
"2007-01-06","2007","01","06","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-07","2007","01","07","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-08","2007","01","08","","","","","","","M","","M","","M","","","","","0.3","","","","","","",""
"2007-01-09","2007","01","09","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-10","2007","01","10","","","","","","","M","","M","","M","","","","","1.9","","","","","","",""
"2007-01-11","2007","01","11","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-12","2007","01","12","","","","","","","M","","M","","M","","","","","0.9","","","","","","",""
"2007-01-13","2007","01","13","","","","","","","M","","M","","M","","","","","0.3","","","","","","",""
"2007-01-14","2007","01","14","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-15","2007","01","15","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-16","2007","01","16","","","","","","","M","","M","","M","","","","","0.4","","","","","","",""
"2007-01-17","2007","01","17","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-18","2007","01","18","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-19","2007","01","19","","","","","","","M","","M","","M","","","","","0.8","","","","","","",""
"2007-01-20","2007","01","20","","","","","","","M","","M","","M","","","","","0.7","","","","","","",""
"2007-01-21","2007","01","21","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-22","2007","01","22","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-23","2007","01","23","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-24","2007","01","24","","","","","","","M","","M","","M","","","","","1.0","","","","","","",""
"2007-01-25","2007","01","25","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-26","2007","01","26","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-27","2007","01","27","","","","","","","M","","M","","M","","","","","1.5","","","","","","",""
"2007-01-28","2007","01","28","","","","","","","M","","M","","M","","","","","0.5","","","","","","",""
"2007-01-29","2007","01","29","","","","","","","M","","M","","M","","","","","0.0","","","","","","",""
"2007-01-30","2007","01","30","","","","","","","M","","M","","M","","","","","0.4","","","","","","",""
"2007-01-31","2007","01","31","","","","","","","M","","M","","M","","","","","0.6","","","","","","",""
"2007-02-01","2007","02","01","†","","M","","M","","M","","M","","M","","M","","M","0.7","","87","","13","","70",""
"2007-02-02","2007","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-03","2007","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-04","2007","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-05","2007","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-06","2007","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-07","2007","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-08","2007","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-09","2007","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-10","2007","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-11","2007","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-12","2007","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-13","2007","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-14","2007","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-15","2007","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-16","2007","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-17","2007","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-18","2007","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-19","2007","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-20","2007","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-21","2007","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-22","2007","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-23","2007","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-24","2007","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-25","2007","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-26","2007","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-27","2007","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2007-02-28","2007","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-01","2007","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-02","2007","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-03","2007","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-04","2007","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-05","2007","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-06","2007","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-07","2007","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-08","2007","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-09","2007","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-10","2007","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-11","2007","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"2007-03-12","2007","03","12","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-13","2007","03","13","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-14","2007","03","14","†","","M","","M","","M","","M","","M","","M","","M","1.0","","91","","30","","44",""
"2007-03-15","2007","03","15","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-16","2007","03","16","†","","M","","M","","M","","M","","M","","M","","M","0.3","","91","","32","","44",""
"2007-03-17","2007","03","17","†","","M","","M","","M","","M","","M","","M","","M","0.4","","91","","","","<31",""
"2007-03-18","2007","03","18","†","","M","","M","","M","","M","","M","","M","","M","1.0","","91","","13","","33",""
"2007-03-19","2007","03","19","†","","M","","M","","M","","M","","M","","M","","M","1.1","","91","","","","<31",""
"2007-03-20","2007","03","20","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-21","2007","03","21","†","","M","","M","","M","","M","","M","","M","","M","1.2","","91","","","","<31",""
"2007-03-22","2007","03","22","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-23","2007","03","23","†","","M","","M","","M","","M","","M","","M","","M","0.8","","91","","33","","35",""
"2007-03-24","2007","03","24","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-25","2007","03","25","†","","M","","M","","M","","M","","M","","M","","M","1.0","","91","","","","<31",""
"2007-03-26","2007","03","26","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-27","2007","03","27","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-28","2007","03","28","†","","M","","M","","M","","M","","M","","M","","M","1.6","","91","","29","","37",""
"2007-03-29","2007","03","29","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-30","2007","03","30","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-03-31","2007","03","31","†","","M","","M","","M","","M","","M","","M","","M","1.4","","91","","11","","32",""
"2007-04-01","2007","04","01","†","","M","","M","","M","","M","","M","","M","","M","0.3","","91","","13","","59",""
"2007-04-02","2007","04","02","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-03","2007","04","03","†","","M","","M","","M","","M","","M","","M","","M","1.8","","91","","","","<31",""
"2007-04-04","2007","04","04","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-05","2007","04","05","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-06","2007","04","06","†","","M","","M","","M","","M","","M","","M","","M","0.9","","91","","32","","32",""
"2007-04-07","2007","04","07","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-08","2007","04","08","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-09","2007","04","09","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-10","2007","04","10","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-11","2007","04","11","†","","M","","M","","M","","M","","M","","M","","M","1.5","","91","","","","<31",""
"2007-04-12","2007","04","12","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-13","2007","04","13","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-14","2007","04","14","†","","M","","M","","M","","M","","M","","M","","M","1.0","","91","","","","<31",""
"2007-04-15","2007","04","15","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-16","2007","04","16","†","","M","","M","","M","","M","","M","","M","","M","1.6","","91","","34","","48",""
"2007-04-17","2007","04","17","†","","M","","M","","M","","M","","M","","M","","M","1.4","","91","","","","<31",""
"2007-04-18","2007","04","18","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-19","2007","04","19","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-20","2007","04","20","†","","M","","M","","M","","M","","M","","M","","M","0.9","","91","","12","","46",""
"2007-04-21","2007","04","21","†","","M","","M","","M","","M","","M","","M","","M","1.0","","91","","32","","44",""
"2007-04-22","2007","04","22","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2007-04-23","2007","04","23","†","","M","","M","","M","","M","","M","","M","","M","0.8","","91","","12","","32",""
"2007-04-24","2007","04","24","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","M","","M"
"2007-04-25","2007","04","25","†","","M","","M","","M","","M","","M","","M","","M","1.1","","91","","11","","37",""
"2007-04-26","2007","04","26","†","","M","","M","","M","","M","","M","","M","","M","1.0","","91","","13","","32",""
"2007-04-27","2007","04","27","†","","M","","M","","M","","M","","M","","M","","M","","M","91","","","","<31",""
"2007-04-28","2007","04","28","†","","M","","M","","M","","M","","M","","M","","M","0.6","","91","","16","","32",""
"2007-04-29","2007","04","29","†","","M","","M","","M","","M","","M","","M","","M","1.2","","91","","","","<31",""
