"Station Name","HERSCHEL ISLAND"
"Province","YUKON TERRITORY"
"Latitude","69.57"
"Longitude","-138.91"
"Elevation","1.20"
"Climate Identifier","2100636"
"WMO Identifier","71501"
"TC Identifier","WJN"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","†","-14.4","","-24.3","","-19.4","","37.4","","0.0","","","M","","M","8.3","","","","32","","111",""
"2010-01-02","2010","01","02","†","-12.4","","-20.8","","-16.6","","34.6","","0.0","","","M","","M","14.8","","","","31","","122",""
"2010-01-03","2010","01","03","†","-16.4","","-23.1","","-19.8","","37.8","","0.0","","","M","","M","0.9","","","","2","","41",""
"2010-01-04","2010","01","04","†","-14.5","E","-21.4","E","-18.0","E","36.0","E","0.0","E","","M","","M","0.0","","","","","M","","M"
"2010-01-05","2010","01","05","†","-21.2","","-27.4","","-24.3","","42.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-01-06","2010","01","06","†","-18.5","","-21.7","","-20.1","","38.1","","0.0","","","M","","M","0.7","","","","31","","35",""
"2010-01-07","2010","01","07","†","-18.2","","-22.0","","-20.1","","38.1","","0.0","","","M","","M","1.2","","","","32","","80",""
"2010-01-08","2010","01","08","†","-20.7","","-28.6","","-24.7","","42.7","","0.0","","","M","","M","0.8","","","","32","","85",""
"2010-01-09","2010","01","09","†","-28.6","","-33.2","","-30.9","","48.9","","0.0","","","M","","M","","M","","","","","<31",""
"2010-01-10","2010","01","10","†","-29.9","","-34.3","","-32.1","","50.1","","0.0","","","M","","M","0.0","","","","32","","44",""
"2010-01-11","2010","01","11","†","-31.9","","-34.8","","-33.4","","51.4","","0.0","","","M","","M","0.0","","","","15","","33",""
"2010-01-12","2010","01","12","†","-31.8","","-34.8","","-33.3","","51.3","","0.0","","","M","","M","","M","","","","","<31",""
"2010-01-13","2010","01","13","†","-25.5","","-33.3","","-29.4","","47.4","","0.0","","","M","","M","0.0","","","","15","","56",""
"2010-01-14","2010","01","14","†","-22.7","","-33.7","","-28.2","","46.2","","0.0","","","M","","M","0.0","","","","30","","48",""
"2010-01-15","2010","01","15","†","-30.9","","-34.0","","-32.5","","50.5","","0.0","","","M","","M","0.3","","","","31","","54",""
"2010-01-16","2010","01","16","†","-27.8","","-35.9","","-31.9","","49.9","","0.0","","","M","","M","0.4","","","","31","","50",""
"2010-01-17","2010","01","17","†","-29.8","","-35.7","","-32.8","","50.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-01-18","2010","01","18","†","-29.1","","-31.2","","-30.2","","48.2","","0.0","","","M","","M","0.4","","","","33","","43",""
"2010-01-19","2010","01","19","†","-27.3","","-30.8","","-29.1","","47.1","","0.0","","","M","","M","0.3","","","","","","<31",""
"2010-01-20","2010","01","20","†","-27.2","","-33.6","","-30.4","","48.4","","0.0","","","M","","M","","M","","","","","<31",""
"2010-01-21","2010","01","21","†","-25.4","","-28.3","","-26.9","","44.9","","0.0","","","M","","M","","M","","","","","<31",""
"2010-01-22","2010","01","22","†","-21.8","","-25.7","","-23.8","","41.8","","0.0","","","M","","M","0.4","","","","32","","69",""
"2010-01-23","2010","01","23","†","-17.5","","-26.7","","-22.1","","40.1","","0.0","","","M","","M","0.3","","","","13","","37",""
"2010-01-24","2010","01","24","†","-9.9","","-17.8","","-13.9","","31.9","","0.0","","","M","","M","0.0","","","","15","","43",""
"2010-01-25","2010","01","25","†","-8.4","","-17.4","","-12.9","","30.9","","0.0","","","M","","M","0.0","","","","15","","57",""
"2010-01-26","2010","01","26","†","","M","-15.9","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2010-01-27","2010","01","27","†","-13.4","","-17.0","","-15.2","","33.2","","0.0","","","M","","M","0.0","","","","33","","44",""
"2010-01-28","2010","01","28","†","-15.8","","-22.1","","-19.0","","37.0","","0.0","","","M","","M","2.0","","","","9","","32",""
"2010-01-29","2010","01","29","†","-19.7","","-22.5","","-21.1","","39.1","","0.0","","","M","","M","0.0","","","","14","","59",""
"2010-01-30","2010","01","30","†","-18.8","E","-22.4","E","-20.6","E","38.6","E","0.0","E","","M","","M","","M","","","","","<31",""
"2010-01-31","2010","01","31","†","-14.3","","-20.7","","-17.5","","35.5","","0.0","","","M","","M","0.6","","","","30","","65",""
"2010-02-01","2010","02","01","†","-15.7","","-21.8","","-18.8","","36.8","","0.0","","","M","","M","","M","","","","","<31",""
"2010-02-02","2010","02","02","†","-15.5","","-24.3","","-19.9","","37.9","","0.0","","","M","","M","0.9","","","","31","","100",""
"2010-02-03","2010","02","03","†","-12.9","","-27.6","","-20.3","","38.3","","0.0","","","M","","M","3.3","","","","32","","102",""
"2010-02-04","2010","02","04","†","-26.0","","-28.8","","-27.4","","45.4","","0.0","","","M","","M","0.9","","","","32","","72",""
"2010-02-05","2010","02","05","†","-26.2","","-33.0","","-29.6","","47.6","","0.0","","","M","","M","0.7","","","","","","<31",""
"2010-02-06","2010","02","06","†","-26.5","","-32.5","","-29.5","","47.5","","0.0","","","M","","M","0.0","","","","14","","33",""
"2010-02-07","2010","02","07","†","-24.6","","-27.0","","-25.8","","43.8","","0.0","","","M","","M","","M","","","","","<31",""
"2010-02-08","2010","02","08","†","-20.6","","-27.3","","-24.0","","42.0","","0.0","","","M","","M","1.5","","","","","","<31",""
"2010-02-09","2010","02","09","†","-19.1","","-26.1","","-22.6","","40.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-02-10","2010","02","10","†","-16.9","","-20.0","","-18.5","","36.5","","0.0","","","M","","M","0.4","","","","14","","39",""
"2010-02-11","2010","02","11","†","-14.8","","-18.2","","-16.5","","34.5","","0.0","","","M","","M","0.0","","","","14","","41",""
"2010-02-12","2010","02","12","†","-15.4","","-17.1","","-16.3","","34.3","","0.0","","","M","","M","0.0","","","","14","","44",""
"2010-02-13","2010","02","13","†","-15.2","","-19.4","","-17.3","","35.3","","0.0","","","M","","M","0.0","","","","14","","48",""
"2010-02-14","2010","02","14","†","-17.8","","-21.0","","-19.4","","37.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-02-15","2010","02","15","†","-16.6","","-20.3","","-18.5","","36.5","","0.0","","","M","","M","1.6","","","","","","<31",""
"2010-02-16","2010","02","16","†","-14.2","","-20.4","","-17.3","","35.3","","0.0","","","M","","M","","M","","","","","<31",""
