"","spp_phen","start_doy","start_doy_unmodified","end_doy","start_period_site","start_period_site_unmodified","end_period_site"
"1","ERIVAG_flowering",106,120,151,96,110,174
"2","SALARC_green_up",116,130,171,96,110,174
"3","DRYINT_flowering",96,110,183,96,110,174
