"","spp_phen","start_doy","start_doy_unmodified","end_doy","start_period_site","start_period_site_unmodified","end_period_site"
"1","SALARC_flowering",136,150,183,136,150,185
"2","OXYDIG_green_up",136,150,172,136,150,185
"3","OXYDIG_flowering",136,150,188,136,150,185
"4","PAPRAD_green_up",136,150,174,136,150,185
"5","PAPRAD_flowering",136,150,196,136,150,185
"6","DRYINT_green_up",136,150,174,136,150,185
"7","DRYINT_flowering",136,150,191,136,150,185
"8","LUZSPP_flowering",147,161,191,136,150,185
