"","cell_id","x_grid","y_grid","lat","long","size"
"1","x183y287",183,287,76.277405133641,-16.504361381755,600.37
"2","x184y287",184,287,76.1673650698764,-15.6681604217525,650.318
"3","x184y288",184,288,75.9685699551917,-16.1275758259598,649.932
"4","x184y289",184,289,75.76898847361,-16.574007756909,649.536
"5","x185y287",185,287,76.0544782236834,-14.8454520820838,582.609
"6","x185y288",185,288,75.8573300100271,-15.3128183608063,583.701
"7","x185y289",185,289,75.6593570339891,-15.7671825424757,584.787
"8","x185y290",185,290,75.4605988489613,-16.209024927808,585.868
"9","x186y287",186,287,75.9388165712019,-14.0362434679265,653.903
"10","x186y288",186,288,75.7433293780235,-14.5110595001691,653.682
"11","x186y289",186,289,75.5469798014502,-14.9728757667869,653.451
"12","x186y290",186,290,75.3498083311983,-15.4221613187387,653.209
"13","x186y296",186,296,74.151558868496,-17.8786965958414,651.541
"14","x186y297",186,297,73.9496196444878,-18.2518958370786,651.227
"15","x186y298",186,298,73.7471216603416,-18.6156920073311,650.903
"16","x186y299",186,299,73.5440914946505,-18.9704078084866,650.569
"17","x186y300",186,300,73.3405545657236,-19.3163528195042,650.224
"18","x186y301",186,301,73.1365351931183,-19.6538240580533,649.869
"19","x186y302",186,302,72.9320566556235,-19.9831065219,649.505
"20","x186y303",186,303,72.7271412458965,-20.3044737099605,649.13
"21","x187y287",187,287,75.8204515074861,-13.2405199151872,563.379
"22","x187y288",187,288,75.6266371905083,-13.7222971331336,564.553
"23","x187y289",187,289,75.4319237126607,-14.191096549024,565.722
"24","x187y290",187,290,75.2363524178391,-14.647375272363,566.886
"25","x187y291",187,291,75.0399627369144,-15.0915726785949,568.045
"26","x187y292",187,292,74.8427922888544,-15.5241109967543,569.2
"27","x187y293",187,293,74.6448769765132,-15.9453959009229,570.349
"28","x187y294",187,294,74.4462510773071,-16.3558171010173,571.493
"29","x187y295",187,295,74.2469473289985,-16.755748929199,572.632
"30","x187y296",187,296,74.0469970108111,-17.1455509188618,573.765
"31","x187y297",187,297,73.8464300200993,-17.5255683737229,574.894
"32","x187y298",187,298,73.6452749447896,-17.8961329250393,576.016
"33","x187y299",187,299,73.4435591318087,-18.2575630753898,577.134
"34","x187y300",187,300,73.2413087517057,-18.6101647278274,578.246
"35","x187y301",187,301,73.0385488596719,-18.9542316995112,579.352
"36","x187y302",187,302,72.8353034531501,-19.2900462191888,580.452
