"","centre","x_grid","y_grid","latitude","longitude"
"1","x173y287",173,287,77.2052668553102,-25.5885131413165
"2","x173y288",173,288,76.9900245447766,-25.9249015075545
"3","x173y289",173,289,76.7744408030745,-26.2502423696889
"4","x173y290",173,290,76.5585384316142,-26.565051177078
"5","x173y291",173,291,76.3423389197302,-26.8698130874991
"6","x173y292",173,292,76.1258625414763,-27.164985057332
"7","x173y293",173,293,75.9091284442038,-27.4509977709323
"8","x173y294",173,294,75.6921547296966,-27.7282574223192
"9","x173y295",173,295,75.4749585285582,-27.9971473612427
"10","x173y296",173,296,75.2575560684745,-28.2580296147069
"11","x173y297",173,297,75.0399627369144,-28.5112462941088
"12","x173y298",173,298,74.8221931387754,-28.7571208973024
"13","x173y299",173,299,74.6042611494279,-28.9959595141184
"14","x173y300",173,300,74.3861799635698,-29.2280519431452
"15","x173y301",173,301,74.1679621402636,-29.453672726921
"16","x173y302",173,302,73.9496196444878,-29.6730821120779
"17","x173y303",173,303,73.7311638855086,-29.8865269404241
"18","x173y304",173,304,73.5126057523432,-30.094241476445
"19","x173y305",173,305,73.2939556465632,-30.2964481762385
"20","x173y306",173,306,73.0752235126637,-30.4933584024757
"21","x173y307",173,307,72.8564188662003,-30.6851730895952
"22","x174y287",174,287,77.1276771512477,-24.6235647861636
"23","x174y288",174,288,76.9137523701336,-24.9739109058834
"24","x174y289",174,289,76.6994463004142,-25.3128838018742
"25","x174y290",174,290,76.4847834162245,-25.6410058243053
"26","x174y291",174,291,76.2697867960052,-25.9587692615607
"27","x174y292",174,292,76.0544782236834,-26.2666383570831
"28","x174y293",174,293,75.838878281452,-26.565051177078
"29","x174y294",174,294,75.6230064349154,-26.8544213405186
"30","x174y295",174,295,75.4068811112967,-27.1351396220769
"31","x174y296",174,296,75.1905197713312,-27.4075754378184
"32","x174y297",174,297,74.9739389754126,-27.6720782227588
"33","x174y298",174,298,74.7571544445023,-27.9289787086809
"34","x174y299",174,299,74.5401811162625,-28.1785901099592
"35","x174y300",174,300,74.3230331968315,-28.4212092245269
"36","x174y301",174,301,74.1057242086184,-28.6571174565582
"37","x174y302",174,302,73.8882670344594,-28.8865817669107
"38","x174y303",174,303,73.6706739584452,-29.1098555568911
"39","x174y304",174,304,73.4529567037016,-29.3271794904568
"40","x174y305",174,305,73.2351264673774,-29.5387822595581
"41","x174y306",174,306,73.0171939530714,-29.7448812969423
"42","x174y307",174,307,72.7991694009104,-29.9456834403952
"43","x175y287",175,287,77.0465220589084,-23.6705384847205
"44","x175y288",175,288,76.8339591361351,-24.0342881594426
"45","x175y289",175,289,76.6209745122467,-24.3863711018014
"46","x175y290",175,290,76.4075943087837,-24.7273143866902
"47","x175y291",175,291,76.1938431730607,-25.0576154183031
"48","x175y292",175,292,75.9797443830903,-25.3777438613492
"49","x175y293",175,293,75.7653199439955,-25.6881434356474
"50","x175y294",175,294,75.5505906766668,-25.989233583833
"51","x175y295",175,295,75.3355762993486,-26.2814110213202
"52","x175y296",175,296,75.1202955027756,-26.565051177078
"53","x175y297",175,297,74.9047660194223,-26.8405095332133
"54","x175y298",175,298,74.6890046873748,-27.1081228708018
"55","x175y299",175,299,74.473027509288,-27.3682104288883
"56","x175y300",175,300,74.2568497068475,-27.6210749830756
"57","x175y301",175,301,74.0404857711173,-27.8670038496569
"58","x175y302",175,302,73.8239495091192,-28.1062698208019
"59","x175y303",175,303,73.6072540869583,-28.3391320358959
"60","x175y304",175,304,73.3904120697808,-28.5658367937466
"61","x175y305",175,305,73.173435458823,-28.7866183100141
"62","x175y306",175,306,72.9563357257907,-29.0016994238882
"63","x175y307",175,307,72.7391238447818,-29.2112922577282
"64","x176y287",176,287,76.9618706264203,-22.7297320799447
"65","x176y288",176,288,76.7507108879606,-23.1063268582716
"66","x176y289",176,289,76.5390886407417,-23.4709931181609
"67","x176y290",176,290,76.3270316189157,-23.8242605828954
"68","x176y291",176,291,76.1145660095227,-24.1666298429855
"69","x176y292",176,292,75.9017165604898,-24.4985741914338
"70","x176y293",176,293,75.6885066800847,-24.8205413354891
"71","x176y294",176,294,75.4749585285582,-25.1329549929134
"72","x176y295",176,295,75.2610931026433,-25.4362163804174
"73","x176y296",176,296,75.0469303135209,-25.7307056015312
"74","x176y297",176,297,74.8324890588053,-26.0167829407738
"75","x176y298",176,298,74.6177872890537,-26.2947900705839
"76","x176y299",176,299,74.4028420692588,-26.565051177078
"77","x176y300",176,300,74.1876696357413,-26.8278740103145
"78","x176y301",176,301,73.9722854488247,-27.0835508643687
"79","x176y302",176,302,73.7567042416366,-27.3323594921677
"80","x176y303",176,303,73.5409400653542,-27.5745639596944
"81","x176y304",176,304,73.3250063311823,-27.8104154438464
"82","x176y305",176,305,73.1089158493245,-28.040152977935
"83","x176y306",176,306,72.89268086519,-28.264004148524
"84","x176y307",176,307,72.6763130930533,-28.4821857470405
"85","x177y287",177,287,76.8737930729857,-21.8014094863518
"86","x177y288",177,288,76.6640748607466,-22.1902888961226
"87","x177y289",177,289,76.4538530906392,-22.5670090778746
"88","x177y290",177,290,76.2431570660116,-22.9321004375898
"89","x177y291",177,291,76.0320144763122,-23.2860649182236
"90","x177y292",177,292,75.8204515074861,-23.6293777306568
