"","amj_hum","mj_hum","salarc_hum","erivag_hum","doy_first_avg_85extend","doy_first_avg_95extend","amj_ice_extend","mj_ice_extend"
"amj_hum",1,0.942594307512348,0.961123472558982,0.975189249806439,-0.501702769605701,-0.592906211670712,-0.426401559190547,-0.428608111399507
"mj_hum",0.942594307512348,1,0.972733431697737,0.927849162598468,-0.462923327407612,-0.605116947841308,-0.374081386819218,-0.375428469416049
"salarc_hum",0.961123472558982,0.972733431697737,1,0.968356465398359,-0.497514740030395,-0.602192775041374,-0.396287517491358,-0.39774956924551
"erivag_hum",0.975189249806439,0.927849162598468,0.968356465398359,1,-0.497440746853535,-0.577930519611794,-0.436055025940407,-0.437850922727028
"doy_first_avg_85extend",-0.501702769605701,-0.462923327407612,-0.497514740030395,-0.497440746853535,1,0.910703413921291,0.855234847290972,0.85569087228822
"doy_first_avg_95extend",-0.592906211670712,-0.605116947841308,-0.602192775041374,-0.577930519611794,0.910703413921291,1,0.731242627877909,0.731330665092938
"amj_ice_extend",-0.426401559190547,-0.374081386819218,-0.396287517491358,-0.436055025940407,0.855234847290972,0.731242627877909,1,0.999986860711649
"mj_ice_extend",-0.428608111399507,-0.375428469416049,-0.39774956924551,-0.437850922727028,0.85569087228822,0.731330665092938,0.999986860711649,1
