"","corner","x_grid","y_grid","latitude","longitude"
"1","x54y217",54,217,66.8779009090119,-144.926481505157
"2","x54y218",54,218,66.9150861858995,-144.369609084839
"3","x54y219",54,219,66.9501447056014,-143.810944716438
"4","x54y220",54,220,66.9830656930567,-143.250586465031
"5","x54y221",54,221,67.0138389715021,-142.688634287228
"6","x54y222",54,222,67.0424549763435,-142.125189935523
"7","x54y223",54,223,67.068904768319,-141.56035685774
"8","x54y224",54,224,67.0931800459138,-140.994240091787
"9","x54y225",54,225,67.1152731569857,-140.426946155958
"10","x54y226",54,226,67.1351771095638,-139.858582935048
"11","x54y227",54,227,67.1528855817857,-139.289259562556
"12","x54y228",54,228,67.1683929309396,-138.719086299294
"13","x54y229",54,229,67.1816942015796,-138.148174408725
"14","x54y230",54,230,67.1927851326907,-137.576636029353
"15","x54y231",54,231,67.2016621638745,-137.004584044557
"16","x54y232",54,232,67.2083224405387,-136.4321319502
"17","x54y233",54,233,67.2127638180688,-135.859393720434
"18","x54y234",54,234,67.2149848649704,-135.28648367207
"19","x54y235",54,235,67.2149848649704,-134.71351632793
"20","x54y236",54,236,67.2127638180688,-134.140606279567
"21","x54y237",54,237,67.2083224405387,-133.567868049802
"22","x54y238",54,238,67.2016621638745,-132.995415955444
"23","x54y239",54,239,67.1927851326907,-132.423363970647
"24","x55y217",55,217,67.0964866640351,-145.024729725281
"25","x55y218",55,218,67.134064955128,-144.462552804547
"26","x55y219",55,219,67.1694951384728,-143.898531068366
"27","x55y220",55,220,67.2027661298078,-143.332765259645
"28","x55y221",55,221,67.2338674587768,-142.765358105521
"29","x55y222",55,222,67.2627892834725,-142.196414217585
"30","x55y223",55,223,67.2895224042419,-141.626039986866
"31","x55y224",55,224,67.3140582767114,-141.054343473795
"32","x55y225",55,225,67.3363890239865,-140.481434293403
"33","x55y226",55,226,67.3565074479882,-139.907423496049
"34","x55y227",55,227,67.3744070398861,-139.332423443946
"35","x55y228",55,228,67.3900819895944,-138.75654768385
"36","x55y229",55,229,67.4035271942975,-138.179910816238
"37","x55y230",55,230,67.4147382659762,-137.602628361331
"38","x55y231",55,231,67.4237115379087,-137.024816622366
"39","x55y232",55,232,67.4304440701229,-136.446592546496
"40","x55y233",55,233,67.4349336537823,-135.868073583751
"41","x55y234",55,234,67.4371788144882,-135.289377544454
"42","x55y235",55,235,67.4371788144882,-134.710622455547
"43","x55y236",55,236,67.4349336537823,-134.131926416249
"44","x55y237",55,237,67.4304440701229,-133.553407453504
"45","x55y238",55,238,67.4237115379087,-132.975183377635
"46","x55y239",55,239,67.4147382659762,-132.397371638669
"47","x56y217",56,217,67.3151682790267,-145.124921786573
"48","x56y218",56,218,67.3531470198584,-144.557341686283
"49","x56y219",56,219,67.3889559348395,-143.98786182369
"50","x56y220",56,220,67.4225836185479,-143.416585713885
"51","x56y221",56,221,67.4540192956,-142.843618954337
"52","x56y222",56,222,67.4832528359051,-142.269069120794
"53","x56y223",56,223,67.5102747691515,-141.693045657569
"54","x56y224",56,224,67.5350762984769,-141.115659762458
"55","x56y225",56,225,67.5576493132779,-140.537024266564
"56","x56y226",56,226,67.5779864011154,-139.95725350932
"57","x56y227",56,227,67.5960808586737,-139.376463209033
"58","x56y228",56,228,67.6119267017394,-138.79477032929
"59","x56y229",56,229,67.6255186741597,-138.212292941616
"60","x56y230",56,230,67.6368522557548,-137.629150084744
"61","x56y231",56,231,67.6459236691518,-137.045461620932
"62","x56y232",56,232,67.6527298855171,-136.461348089748
"63","x56y233",56,233,67.6572686291692,-135.876930559742
"64","x56y234",56,234,67.6595383810503,-135.292330478501
"65","x56y235",56,235,67.6595383810503,-134.707669521499
"66","x56y236",56,236,67.6572686291692,-134.123069440258
"67","x56y237",56,237,67.6527298855171,-133.538651910252
"68","x56y238",56,238,67.6459236691518,-132.954538379068
"69","x56y239",56,239,67.6368522557548,-132.370849915256
"70","x57y217",57,217,67.5339422285821,-145.227115323587
"71","x57y218",57,218,67.5723290699553,-144.654030693933
"72","x57y219",57,219,67.6085239906473,-144.078989173453
"73","x57y220",57,220,67.6425152515363,-143.502097147736
"74","x57y221",57,221,67.6742917602184,-142.923463188724
"75","x57y222",57,222,67.7038430870139,-142.343197946076
"76","x57y223",57,223,67.7311594801749,-141.76141403251
"77","x57y224",57,224,67.7562318802402,-141.178225903416
"78","x57y225",57,225,67.7790519334899,-140.593749731001
"79","x57y226",57,226,67.7996120044554,-140.008103273288
"80","x57y227",57,227,67.8179051874372,-139.421405738324
"81","x57y228",57,228,67.8339253169945,-138.833777643946
"82","x57y229",57,229,67.8476669773652,-138.245340673517
"83","x57y230",57,230,67.8591255107869,-137.656217528037
"84","x57y231",57,231,67.8682970246843,-137.066531775084
"85","x57y232",57,232,67.8751783977009,-136.476407695024
"86","x57y233",57,233,67.8797672845506,-135.885970124971
"87","x57y234",57,234,67.8820621196718,-135.295344300988
"88","x57y235",57,235,67.8820621196718,-134.704655699012
"89","x57y236",57,236,67.8797672845506,-134.114029875029
"90","x57y237",57,237,67.8751783977009,-133.523592304976
"91","x57y238",57,238,67.8682970246843,-132.933468224916
"92","x57y239",57,239,67.8591255107869,-132.343782471963
"93","x58y217",58,217,67.7528048973039,-145.331370245876
"94","x58y218",58,218,67.7916077135837,-144.752676974049
"95","x58y219",58,219,67.8281961281557,-144.171967393022
"96","x58y220",58,220,67.8625580550467,-143.589350861332
