"","cell_id","x_grid","y_grid","lat","long","size"
"177","x87y200",87,200,72.6345729026038,-162.072080237993,634.521
"178","x87y201",87,201,72.7361273695775,-161.395034526198,634.863
"179","x87y202",87,202,72.8353034531501,-160.709953780811,635.195
"180","x87y203",87,203,72.9320566556235,-160.0168934781,635.518
"181","x87y204",87,204,73.0263425795459,-159.315919732053,635.831
"182","x87y205",87,205,73.1181169951328,-158.607109648019,636.134
"183","x87y206",87,206,73.2073359107823,-157.890551656248,636.427
"184","x87y207",87,207,73.2939556465632,-157.166345822083,636.71
"185","x87y208",87,208,73.3779329105332,-156.434604129418,636.984
"186","x87y209",87,209,73.4592248777097,-155.695450734063,637.247
"187","x87y210",87,210,73.5377892714895,-154.949022183557,637.5
"188","x87y211",87,211,73.6135844472781,-154.195467600053,637.744
"189","x87y212",87,212,73.686569478064,-153.434948822922,637.977
"190","x87y213",87,213,73.7567042416366,-152.667640507832,638.2
"191","x87y214",87,214,73.8239495091192,-151.893730179198,638.413
"192","x88y194",88,194,72.1706789503941,-166.342357494188,632.933
"193","x88y195",88,195,72.2869018528932,-165.709674918182,633.334
"194","x88y196",88,196,72.4010041459786,-165.068582821863,633.726
"195","x88y197",88,197,72.5129408322322,-164.419076151749,634.108
"196","x88y198",88,198,72.6226666396551,-163.761158370308,634.48
"197","x88y199",88,199,72.7301360704217,-163.094841901365,634.843
"198","x88y200",88,200,72.8353034531501,-162.420148573345,635.195
"199","x88y201",88,201,72.9381229987228,-161.737110057806,635.538
"200","x88y202",88,202,73.0385488596719,-161.045768300489,635.871
"201","x88y203",88,203,73.1365351931183,-160.346175941947,636.195
"202","x88y204",88,204,73.2320362272363,-159.638396724614,636.508
"203","x88y205",88,205,73.3250063311823,-158.922505883013,636.812
"204","x88y206",88,206,73.4154000884066,-158.198590513648,637.105
"205","x88y207",88,207,73.5031723732298,-157.466749920996,637.389
"206","x88y208",88,208,73.5882784305421,-156.727095935918,637.662
"207","x88y209",88,209,73.6706739584452,-155.979753202735,637.926
"208","x88y210",88,210,73.7503151936281,-155.224859431168,638.18
"209","x88y211",88,211,73.8271589992301,-154.462565609364,638.424
"210","x88y212",88,212,73.9011629549124,-153.693036174258,638.657
"211","x88y213",88,213,73.9722854488247,-152.916449135631,638.881
"212","x88y214",88,214,74.0404857711173,-152.132996150343,639.095
