"site_name","site_spp_phen","predictor","effect_size","lower","upper"
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Sea-Ice",-0.0906162570778214,-1.83217545282642,1.65335273900254
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Sea-Ice",0.705612229921794,-1.01465953408688,2.43964931191539
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Sea-Ice",-0.768848989259367,-2.86921266888594,1.26043194902721
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Sea-Ice",0.516154417299837,-1.27229316551485,2.32738463251436
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Sea-Ice",-0.0822568879970083,-1.84971173974095,1.68582960262425
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Sea-Ice",0.806303701796795,-0.957995528228064,2.59051933877336
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Sea-Ice",-0.251357151066548,-1.98233722210399,1.48448021862252
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Sea-Ice",-0.647205913231282,-2.44920760303437,1.12607177345544
"BARROW","BARROW_CASTET_green_up","Sea-Ice",-0.755580047344299,-3.02737646951741,1.39353180793045
"BARROW","BARROW_DUPFIS_green_up","Sea-Ice",1.21680246203319,-0.882639385225785,3.43838357253222
"BARROW","BARROW_LUZARC_flowering","Sea-Ice",-0.0243922420015419,-2.07069224960375,2.03452733335717
"BARROW","BARROW_LUZARC_green_up","Sea-Ice",0.272162974918476,-1.74219016319099,2.31190417074921
"BARROW","BARROW_POAARC_green_up","Sea-Ice",-1.44607642785053,-3.57838847539804,0.566306177117875
"BARROW","BARROW_SALROT_flowering","Sea-Ice",1.08207404176477,-1.03381417877157,3.33223503435344
"BARROW","BARROW_SALROT_green_up","Sea-Ice",-0.631371565088361,-2.78215039375076,1.44816039361099
"QHI","QHI_DRYINT_flowering","Sea-Ice",0.0278761989593043,-2.08156262414549,2.16262339842476
"QHI","QHI_ERIVAG_flowering","Sea-Ice",0.0167864957727632,-1.98860580141064,2.04034674930254
"QHI","QHI_SALARC_green_up","Sea-Ice",-0.0696541990842442,-2.04711203067081,1.91405472302993
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Sea-Ice",-0.0353043304043958,-1.89728470690183,1.82737896601021
"ZACKENBERG","ZACKENBERG_DRYOCT_flowering","Sea-Ice",-0.374583484908177,-2.2347072601394,1.46267123873874
"ZACKENBERG","ZACKENBERG_PAPRAD_flowering","Sea-Ice",-0.427807807841923,-2.38784987409181,1.48850211719298
"ZACKENBERG","ZACKENBERG_SALARC_flowering","Sea-Ice",-0.00631352902450107,-1.82930053902326,1.80889797024455
"ZACKENBERG","ZACKENBERG_SAXOPP_flowering","Sea-Ice",0.257640794056876,-1.84838586266727,2.39883221891117
"ZACKENBERG","ZACKENBERG_SILACA_flowering","Sea-Ice",0.391816549002933,-1.50878370181027,2.32041436503745
