"site_spp_phen","intercept","intercept_l95","intercept_u95","intercept_esmpl","intercept_pMCMC","slope","slope_l95","slope_u95","slope_esmpl","slope_pMCMC","adv_per_dec"
"ALEXFIORD_SALARC_flowering",498.541141320426,161.185081240488,840.325101117635,1523.71058399772,0.00470588235294112,-0.159954195237018,-0.330698581630713,0.00839897603464124,1523.78372116709,0.0705882352941176,-1.59954195237018
"ALEXFIORD_OXYDIG_green_up",272.414603982066,103.664738942112,417.347673305077,1857.55997988672,0.000588235294117647,-0.0529124266018977,-0.125376187022994,0.0311460787343094,1857.63359912029,0.195294117647059,-0.529124266018977
"ALEXFIORD_OXYDIG_flowering",24.0901364648674,-310.021968351686,380.907976950461,1700,0.894117647058823,0.0788400427677235,-0.0996030771930236,0.245883837982547,1700,0.385882352941177,0.788400427677235
"ALEXFIORD_PAPRAD_green_up",645.956210889503,486.197336080077,803.736499194434,1700,0.000588235294117647,-0.237860718277193,-0.311860252208135,-0.153030659421347,1700,0.000588235294117647,-2.37860718277193
"ALEXFIORD_PAPRAD_flowering",-216.961665232967,-447.467297552212,28.6662443589266,1700,0.0776470588235294,0.204015012427331,0.0812835764954798,0.319120776723139,1700,0.00117647058823533,2.04015012427331
"ALEXFIORD_DRYINT_green_up",641.121525458031,519.239227895538,752.488785457448,1700,0.000588235294117647,-0.235003831550481,-0.290601241104014,-0.174232509350986,1700,0.000588235294117647,-2.35003831550481
"ALEXFIORD_DRYINT_flowering",132.556896240826,-45.2432561722089,314.068147775099,1910.85757152972,0.145882352941177,0.0266060059192911,-0.0638635582981806,0.115477760262365,1910.9334570398,0.552941176470588,0.266060059192911
"ALEXFIORD_LUZSPP_flowering",675.755913789316,-360.773218767645,1695.15066082216,1700,0.185882352941176,-0.245139560082792,-0.756062185937481,0.27401779050706,1700,0.327058823529412,-2.45139560082792
"BARROW_LUZARC_green_up",196.973857465786,-40.4444819753735,397.454910203276,1700,0.0788235294117647,-0.0143081185683598,-0.114314292475683,0.104037088080077,1700,0.783529411764706,-0.143081185683598
"BARROW_LUZARC_flowering",224.666121408418,-46.6015133050969,492.47839462597,1700,0.111764705882353,-0.0201499557850554,-0.153561467508553,0.115368673333251,1700,0.797647058823529,-0.201499557850554
"BARROW_POAARC_green_up",394.682928470434,114.431506997396,643.114158447292,1700,0.00352941176470578,-0.112544059563735,-0.236448115698295,0.0273625991103472,1700,0.0988235294117647,-1.12544059563735
"BARROW_SALROT_green_up",63.3716677234682,-183.637662142952,343.875559065054,1700,0.635294117647059,0.0538082016011952,-0.0868960839579813,0.176200347435952,1700,0.417647058823529,0.538082016011952
"BARROW_SALROT_flowering",444.98000081075,239.328383563021,647.897746102564,1700,0.000588235294117647,-0.133355988495938,-0.234237444004975,-0.0306289560103323,1700,0.00823529411764706,-1.33355988495938
"BARROW_CASTET_green_up",239.510407657293,-30.9123376334755,477.257143102004,1571.22771984371,0.0682352941176469,-0.0374803064839361,-0.160019291681238,0.0931409979020827,1571.65591290325,0.562352941176471,-0.374803064839361
"BARROW_DUPFIS_green_up",308.353271450164,97.4505593182475,501.223953728448,1700,0.00235294117647067,-0.0676608093037257,-0.16383585112635,0.0374847775601665,1700,0.177647058823529,-0.676608093037257
"QHI_ERIVAG_flowering",1000.53755844028,457.725310724636,1452.11984008038,1700,0.000588235294117647,-0.426301923705145,-0.650590226898203,-0.156460015510675,1700,0.00117647058823529,-4.26301923705145
"QHI_SALARC_green_up",2132.96020911735,1653.34769005102,2623.46130438578,1700,0.000588235294117647,-0.981082205400905,-1.22527434045332,-0.742017133190529,1700,0.000588235294117647,-9.81082205400905
"QHI_DRYINT_flowering",1039.10199480684,638.831154433457,1486.39120087583,1289.55018032958,0.000588235294117647,-0.428349929488534,-0.629769688446686,-0.207743984283297,1289.64849324381,0.000588235294117647,-4.28349929488534
"ZACKENBERG_SAXOPP_flowering",993.60411937414,297.590977850334,1655.91868470571,1561.10319531203,0.00588235294117645,-0.420065210231361,-0.764161261889967,-0.0862091939343372,1561.16413194111,0.0152941176470588,-4.20065210231361
"ZACKENBERG_SALARC_flowering",-645.250756751354,-1543.40217446632,348.835519689484,1993.99345213847,0.168235294117647,0.407325078869068,-0.0578884502756409,0.885127478115464,1994.52886404507,0.091764705882353,4.07325078869068
"ZACKENBERG_SILACA_flowering",1240.06959059238,-428.285716634702,2744.51153575742,1700,0.128235294117647,-0.530828584019875,-1.28060923164594,0.302097201540164,1700,0.197647058823529,-5.30828584019875
"ZACKENBERG_DRYOCT_flowering",2008.1584465798,790.142403478374,3277.94908810174,1694.5103920058,0.00352941176470578,-0.912457741128417,-1.5273313168218,-0.284739438036922,1693.75387614209,0.00588235294117647,-9.12457741128417
"ZACKENBERG_CASTET_flowering",1822.47282782665,1165.30782398121,2502.89534557828,1700,0.000588235294117647,-0.816903875493216,-1.15649670918356,-0.489020294324291,1700,0.000588235294117647,-8.16903875493216
"ZACKENBERG_PAPRAD_flowering",1860.99947261237,760.244333325107,2781.99231405486,1791.75764554521,0.000588235294117647,-0.833506097189154,-1.29303428380081,-0.283632277714787,1791.80331980874,0.000588235294117647,-8.33506097189154
