"","spp_phen","start_doy","start_doy_unmodified","end_doy","start_period_site","start_period_site_unmodified","end_period_site"
"1","SAXOPP_flowering",122,136,161,122,136,189
"2","SALARC_flowering",122,136,183,122,136,189
"3","SILACA_flowering",122,136,183,122,136,189
"4","DRYOCT_flowering",122,136,195,122,136,189
"5","CASTET_flowering",122,136,191,122,136,189
"6","PAPRAD_flowering",122,136,197,122,136,189
