"","spp_phen","start_doy","start_doy_unmodified","end_doy","start_period_site","start_period_site_unmodified","end_period_site"
"1","LUZARC_green_up",133,147,175,133,147,179
"2","LUZARC_flowering",133,147,192,133,147,179
"3","POAARC_green_up",133,147,173,133,147,179
"4","SALROT_green_up",133,147,177,133,147,179
"5","SALROT_flowering",133,147,183,133,147,179
"6","CASTET_green_up",133,147,169,133,147,179
"7","DUPFIS_green_up",144,158,177,133,147,179
