"site_name","site_spp_phen","predictor","effect_size","lower","upper"
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Sea-Ice",-0.161499730970145,-1.51437365006489,1.1892424280654
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Sea-Ice",0.615197915701025,-0.713233606618515,1.95693991512731
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Sea-Ice",-0.436733994434525,-2.04518053525548,1.13402539963857
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Sea-Ice",0.31886616227897,-1.07936233923505,1.7371568689975
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Sea-Ice",-0.254577364658354,-1.63461723118543,1.11974489217468
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Sea-Ice",0.679037323585786,-0.694503393134366,2.07167600300704
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Sea-Ice",-0.280983954077775,-1.62089725929361,1.05780769759056
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Sea-Ice",-0.744137726847959,-2.1546755629431,0.634453682665049
"BARROW","BARROW_CASTET_green_up","Sea-Ice",-0.794571411870779,-2.58446949333964,0.888683583071636
"BARROW","BARROW_DUPFIS_green_up","Sea-Ice",0.631968247560683,-1.11073956434549,2.54145307150348
"BARROW","BARROW_LUZARC_flowering","Sea-Ice",-1.46682955813731,-3.35175136073578,0.277882498369403
"BARROW","BARROW_LUZARC_green_up","Sea-Ice",-0.536481123146108,-2.21107964012373,1.08091484734166
"BARROW","BARROW_POAARC_green_up","Sea-Ice",-0.293736254599215,-1.90694423800645,1.31375283855895
"BARROW","BARROW_SALROT_flowering","Sea-Ice",0.791806421606795,-0.898821137951247,2.58208298971369
"BARROW","BARROW_SALROT_green_up","Sea-Ice",0.19378031915938,-1.41916902162525,1.8674592258919
"QHI","QHI_DRYINT_flowering","Sea-Ice",-0.2596455951357,-1.90452779711281,1.38780050718712
"QHI","QHI_ERIVAG_flowering","Sea-Ice",-0.0588319329146849,-1.6719285693399,1.56420216549703
"QHI","QHI_SALARC_green_up","Sea-Ice",-0.404936920675792,-1.97636056336146,1.1390142343755
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Sea-Ice",-0.139581860265074,-1.63363330761999,1.35456666932526
"ZACKENBERG","ZACKENBERG_DRYOCT_flowering","Sea-Ice",-0.470365340458984,-1.9664077516326,1.00887158382502
"ZACKENBERG","ZACKENBERG_PAPRAD_flowering","Sea-Ice",-0.478779364006685,-2.04608391120933,1.05116949572564
"ZACKENBERG","ZACKENBERG_SALARC_flowering","Sea-Ice",-0.0777083251391429,-1.54116158826422,1.37938322902212
"ZACKENBERG","ZACKENBERG_SAXOPP_flowering","Sea-Ice",0.10164354905506,-1.58216395492956,1.82526894021106
"ZACKENBERG","ZACKENBERG_SILACA_flowering","Sea-Ice",0.239482207501115,-1.28922006047,1.80253041884855
