"","corner","x_grid","y_grid","latitude","longitude"
"1","x67y193",67,193,68.0178614016921,-160.50227762516
"2","x67y194",67,194,68.1128166874875,-159.963384939071
"3","x67y195",67,195,68.2058927430688,-159.41973130369
"4","x67y196",67,196,68.2970625846774,-158.871352531048
"5","x67y197",67,197,68.3862993402284,-158.318288520808
"6","x67y198",67,198,68.4735762758668,-157.760583349412
"7","x67y199",67,199,68.5588668233366,-157.198285353662
"8","x67y200",67,200,68.6421446081281,-156.631447208188
"9","x67y201",67,201,68.7233834783625,-156.060125996215
"10","x67y202",67,202,68.8025575343679,-155.484383273028
"11","x67y203",67,203,68.8796411588978,-154.9042851216
"12","x67y204",67,204,68.9546090479324,-154.31990219977
"13","x67y205",67,205,69.0274362420053,-153.731309778436
"14","x67y206",67,206,69.0980981579864,-153.138587770199
"15","x67y207",67,207,69.1665706212502,-152.541820747945
"16","x67y208",67,208,69.2328298981518,-151.941097952853
"17","x67y209",67,209,69.2968527287301,-151.336513291343
"18","x67y210",67,210,69.3586163595506,-150.72816532055
"19","x67y211",67,211,69.4180985765976,-150.116157221885
"20","x67y212",67,212,69.4752777381212,-149.500596762358
"21","x67y213",67,213,69.5301328073393,-148.881596243318
"22","x67y214",67,214,69.5826433848941,-148.259272436376
"23","x67y215",67,215,69.6327897409579,-147.633746506288
"24","x68y193",68,193,68.2187188315165,-160.760626122097
"25","x68y194",68,194,68.3146373163941,-160.217774905438
"26","x68y195",68,195,68.4086654423838,-159.670035534199
"27","x68y196",68,196,68.5007755702645,-159.117443148841
"28","x68y197",68,197,68.5909401637971,-158.560037126254
"29","x68y198",68,198,68.6791318171298,-157.997861176666
"30","x68y199",68,199,68.7653232830776,-157.430963434883
"31","x68y200",68,200,68.8494875022445,-156.859396545228
"32","x68y201",68,201,68.931597632945,-156.28321773956
"33","x68y202",68,202,69.0116270818795,-155.70248890774
"34","x68y203",68,203,69.0895495355115,-155.117276659922
"35","x68y204",68,204,69.1653389920876,-154.527652380047
"36","x68y205",68,205,69.2389697942384,-153.933692269913
"37","x68y206",68,206,69.3104166620896,-153.335477383242
"38","x68y207",68,207,69.3796547268089,-152.733093649142
"39","x68y208",68,208,69.4466595645085,-152.12663188443
"40","x68y209",68,209,69.5114072304165,-151.516187794259
"41","x68y210",68,210,69.5738742932267,-150.901861960602
