"Station Name","KOMAKUK BEACH"
"Province","YUKON TERRITORY"
"Latitude","69.61"
"Longitude","-140.20"
"Elevation","13.20"
"Climate Identifier","2100682"
"WMO Identifier","71046"
"TC Identifier","WKM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","-31.0","","-38.2","","-34.6","","52.6","","0.0","","","M","","M","","M","","","1","","41",""
"2012-01-02","2012","01","02","†","-25.9","","-31.4","","-28.7","","46.7","","0.0","","","M","","M","","M","","","27","","61",""
"2012-01-03","2012","01","03","†","-26.1","","-37.0","","-31.6","","49.6","","0.0","","","M","","M","","M","","","27","","52",""
"2012-01-04","2012","01","04","†","-27.3","","-36.0","","-31.7","","49.7","","0.0","","","M","","M","","M","","","10","","57",""
"2012-01-05","2012","01","05","†","-22.5","","-27.3","","-24.9","","42.9","","0.0","","","M","","M","","M","","","10","","67",""
"2012-01-06","2012","01","06","†","-22.5","","-31.6","","-27.1","","45.1","","0.0","","","M","","M","","M","","","26","","35",""
"2012-01-07","2012","01","07","†","-22.4","","-33.2","","-27.8","","45.8","","0.0","","","M","","M","","M","","","28","","39",""
"2012-01-08","2012","01","08","†","-24.4","","-30.7","","-27.6","","45.6","","0.0","","","M","","M","","M","","","","","<31",""
"2012-01-09","2012","01","09","†","-21.6","E","-30.7","E","-26.2","E","44.2","E","0.0","E","","M","","M","","M","","","","M","","M"
"2012-01-10","2012","01","10","†","-22.1","E","-34.6","E","-28.4","E","46.4","E","0.0","E","","M","","M","","M","","","","M","","M"
"2012-01-11","2012","01","11","†","-25.4","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2012-01-12","2012","01","12","†","-22.2","","-26.3","","-24.3","","42.3","","0.0","","","M","","M","","M","","","28","","72",""
"2012-01-13","2012","01","13","†","-25.2","","-32.8","","-29.0","","47.0","","0.0","","","M","","M","","M","","","27","","44",""
"2012-01-14","2012","01","14","†","-20.1","","-30.3","","-25.2","","43.2","","0.0","","","M","","M","","M","","","28","","69",""
"2012-01-15","2012","01","15","†","-24.9","","-29.4","","-27.2","","45.2","","0.0","","","M","","M","","M","","","27","E","63","E"
"2012-01-16","2012","01","16","†","-17.7","","-26.5","","-22.1","","40.1","","0.0","","","M","","M","","M","","","29","E","93","E"
"2012-01-17","2012","01","17","†","-16.5","","-17.9","","-17.2","","35.2","","0.0","","","M","","M","","M","","","28","E","93","E"
"2012-01-18","2012","01","18","†","-11.4","","-18.3","","-14.9","","32.9","","0.0","","","M","","M","","M","","","28","","96",""
"2012-01-19","2012","01","19","†","-12.5","","-18.0","","-15.3","","33.3","","0.0","","","M","","M","","M","","","28","","70",""
"2012-01-20","2012","01","20","†","-13.2","","-18.2","","-15.7","","33.7","","0.0","","","M","","M","","M","","","28","E","76","E"
"2012-01-21","2012","01","21","†","-18.2","","-26.0","","-22.1","","40.1","","0.0","","","M","","M","","M","","","27","","56",""
"2012-01-22","2012","01","22","†","-26.0","","-38.2","","-32.1","","50.1","","0.0","","","M","","M","","M","","","3","","46",""
"2012-01-23","2012","01","23","†","","M","-38.2","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2012-01-24","2012","01","24","†","-34.8","","-37.5","","-36.2","","54.2","","0.0","","","M","","M","","M","","","28","","56",""
"2012-01-25","2012","01","25","†","-35.1","","-37.5","","-36.3","","54.3","","0.0","","","M","","M","","M","","","3","","54",""
"2012-01-26","2012","01","26","†","-32.7","","-35.2","","-34.0","","52.0","","0.0","","","M","","M","","M","","","28","","67",""
"2012-01-27","2012","01","27","†","-30.7","","-34.4","","-32.6","","50.6","","0.0","","","M","","M","","M","","","27","","57",""
"2012-01-28","2012","01","28","†","-29.6","","-39.9","","-34.8","","52.8","","0.0","","","M","","M","","M","","","14","","39",""
"2012-01-29","2012","01","29","†","-36.7","","-43.8","","-40.3","","58.3","","0.0","","","M","","M","","M","","","","","<31",""
"2012-01-30","2012","01","30","†","-34.0","","-39.6","","-36.8","","54.8","","0.0","","","M","","M","","M","","","","","<31",""
"2012-01-31","2012","01","31","†","-35.2","","-40.5","","-37.9","","55.9","","0.0","","","M","","M","","M","","","","","<31",""
"2012-02-01","2012","02","01","†","-34.6","","-43.9","","-39.3","","57.3","","0.0","","","M","","M","","M","","","","","<31",""
"2012-02-02","2012","02","02","†","-29.5","","-35.9","","-32.7","","50.7","","0.0","","","M","","M","","M","","","","","<31",""
"2012-02-03","2012","02","03","†","-27.1","","-33.9","","-30.5","","48.5","","0.0","","","M","","M","","M","","","10","","69",""
"2012-02-04","2012","02","04","†","-7.3","","-31.6","","-19.5","","37.5","","0.0","","","M","","M","","M","","","2","","80",""
