"Station Name","KOMAKUK BEACH"
"Province","YUKON TERRITORY"
"Latitude","69.61"
"Longitude","-140.20"
"Elevation","13.20"
"Climate Identifier","2100682"
"WMO Identifier","71046"
"TC Identifier","WKM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","†","-21.7","","-25.4","","-23.6","","41.6","","0.0","","","M","","M","","M","","","10","","61",""
"2015-01-02","2015","01","02","†","-8.9","","-25.1","","-17.0","","35.0","","0.0","","","M","","M","","M","","","10","","50",""
"2015-01-03","2015","01","03","†","-13.5","","-25.7","","-19.6","","37.6","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-04","2015","01","04","†","-13.3","","-25.2","","-19.3","","37.3","","0.0","","","M","","M","","M","","","10","","52",""
"2015-01-05","2015","01","05","†","-13.9","","-22.6","","-18.3","","36.3","","0.0","","","M","","M","","M","","","9","","52",""
"2015-01-06","2015","01","06","†","-11.6","","-20.2","","-15.9","","33.9","","0.0","","","M","","M","","M","","","28","","56",""
"2015-01-07","2015","01","07","†","-17.9","","-25.2","","-21.6","","39.6","","0.0","","","M","","M","","M","","","9","","50",""
"2015-01-08","2015","01","08","†","-18.2","","-26.1","","-22.2","","40.2","","0.0","","","M","","M","","M","","","12","","65",""
"2015-01-09","2015","01","09","†","1.6","","-24.1","","-11.3","","29.3","","0.0","","","M","","M","","M","","","11","","78",""
"2015-01-10","2015","01","10","†","-8.7","E","-22.5","E","-15.6","E","33.6","E","0.0","E","","M","","M","","M","","","","M","","M"
"2015-01-11","2015","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2015-01-12","2015","01","12","†","-21.6","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2015-01-13","2015","01","13","†","-26.0","","-29.8","","-27.9","","45.9","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-14","2015","01","14","†","-27.4","","-33.6","","-30.5","","48.5","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-15","2015","01","15","†","-23.2","","-29.9","","-26.6","","44.6","","0.0","","","M","","M","","M","","","10","","67",""
"2015-01-16","2015","01","16","†","-19.8","","-24.2","","-22.0","","40.0","","0.0","","","M","","M","","M","","","9","","70",""
"2015-01-17","2015","01","17","†","-18.8","","-20.2","","-19.5","","37.5","","0.0","","","M","","M","","M","","","9","","74",""
"2015-01-18","2015","01","18","†","-18.2","","-26.7","","-22.5","","40.5","","0.0","","","M","","M","","M","","","10","","32",""
"2015-01-19","2015","01","19","†","-19.1","","-28.8","","-24.0","","42.0","","0.0","","","M","","M","","M","","","10","","33",""
"2015-01-20","2015","01","20","†","-19.2","","-26.1","","-22.7","","40.7","","0.0","","","M","","M","","M","","","9","","48",""
"2015-01-21","2015","01","21","†","-18.5","","-26.2","","-22.4","","40.4","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-22","2015","01","22","†","-19.3","","-23.5","","-21.4","","39.4","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-23","2015","01","23","†","-21.6","","-25.3","","-23.5","","41.5","","0.0","","","M","","M","","M","","","29","","74",""
"2015-01-24","2015","01","24","†","-22.7","","-28.3","","-25.5","","43.5","","0.0","","","M","","M","","M","","","29","","65",""
"2015-01-25","2015","01","25","†","-25.4","","-29.6","","-27.5","","45.5","","0.0","","","M","","M","","M","","","28","","59",""
"2015-01-26","2015","01","26","†","-21.4","","-27.7","","-24.6","","42.6","","0.0","","","M","","M","","M","","","28","","61",""
"2015-01-27","2015","01","27","†","-20.5","","-26.1","","-23.3","","41.3","","0.0","","","M","","M","","M","","","28","","61",""
"2015-01-28","2015","01","28","†","-21.9","","-25.3","","-23.6","","41.6","","0.0","","","M","","M","","M","","","28","","67",""
"2015-01-29","2015","01","29","†","-22.9","","-28.8","","-25.9","","43.9","","0.0","","","M","","M","","M","","","27","","37",""
"2015-01-30","2015","01","30","†","-7.1","","-31.2","","-19.2","","37.2","","0.0","","","M","","M","","M","","","24","","41",""
"2015-01-31","2015","01","31","†","-6.1","","-15.9","","-11.0","","29.0","","0.0","","","M","","M","","M","","","26","","74",""
"2015-02-01","2015","02","01","†","-15.8","","-26.7","","-21.3","","39.3","","0.0","","","M","","M","","M","","","27","","69",""
"2015-02-02","2015","02","02","†","-7.5","","-24.0","","-15.8","","33.8","","0.0","","","M","","M","","M","","","10","","63",""
"2015-02-03","2015","02","03","†","-8.4","","-19.2","","-13.8","","31.8","","0.0","","","M","","M","","M","","","28","","85",""
"2015-02-04","2015","02","04","†","-19.2","","-27.5","","-23.4","","41.4","","0.0","","","M","","M","","M","","","28","","83",""
"2015-02-05","2015","02","05","†","-27.1","","-34.9","","-31.0","","49.0","","0.0","","","M","","M","","M","","","28","","54",""
"2015-02-06","2015","02","06","†","-20.7","","-35.7","","-28.2","","46.2","","0.0","","","M","","M","","M","","","28","","70",""
"2015-02-07","2015","02","07","†","-22.7","","-31.7","","-27.2","","45.2","","0.0","","","M","","M","","M","","","28","","80",""
"2015-02-08","2015","02","08","†","-21.4","","-26.8","","-24.1","","42.1","","0.0","","","M","","M","","M","","","28","","63",""
"2015-02-09","2015","02","09","†","-25.9","","-35.5","","-30.7","","48.7","","0.0","","","M","","M","","M","","","28","","52",""
"2015-02-10","2015","02","10","†","-26.9","","-35.9","","-31.4","","49.4","","0.0","","","M","","M","","M","","","26","","33",""
"2015-02-11","2015","02","11","†","-30.4","","-37.8","","-34.1","","52.1","","0.0","","","M","","M","","M","","","10","","46",""
"2015-02-12","2015","02","12","†","-29.0","","-34.1","","-31.6","","49.6","","0.0","","","M","","M","","M","","","9","","74",""
"2015-02-13","2015","02","13","†","-29.9","","-33.0","","-31.5","","49.5","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-14","2015","02","14","†","-27.2","","-29.9","","-28.6","","46.6","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-15","2015","02","15","†","","M","-28.9","E","","M","","M","","M","","M","","","","M","","","","M","","M"
"2015-02-16","2015","02","16","†","-21.9","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2015-02-17","2015","02","17","†","-12.1","","-21.8","","-17.0","","35.0","","0.0","","","M","","M","","M","","","12","","85",""
"2015-02-18","2015","02","18","†","-3.9","","-13.9","","-8.9","","26.9","","0.0","","","M","","M","","M","","","","","<31",""
"2015-02-19","2015","02","19","†","-4.7","","-17.2","","-11.0","","29.0","","0.0","","","M","","M","","M","","","25","","37",""
"2015-02-20","2015","02","20","†","-4.0","","-16.6","","-10.3","","28.3","","0.0","","","M","","M","","M","","","26","","39",""
"2015-02-21","2015","02","21","†","-10.8","","-15.9","","-13.4","","31.4","","0.0","","","M","","M","","M","","","27","","32",""
"2015-02-22","2015","02","22","†","-12.4","","-17.7","","-15.1","","33.1","","0.0","","","M","","M","","M","","","9","","65",""
"2015-02-23","2015","02","23","†","-13.2","","-19.1","","-16.2","","34.2","","0.0","","","M","","M","","M","","","10","","93",""
"2015-02-24","2015","02","24","†","-3.7","","-16.4","","-10.1","","28.1","","0.0","","","M","","M","","M","","","11","","82",""
"2015-02-25","2015","02","25","†","-4.3","","-10.4","","-7.4","","25.4","","0.0","","","M","","M","","M","","","27","","57",""
"2015-02-26","2015","02","26","†","-1.9","","-11.5","","-6.7","","24.7","","0.0","","","M","","M","","M","","","18","","56",""
"2015-02-27","2015","02","27","†","-0.2","","-7.1","","-3.7","","21.7","","0.0","","","M","","M","","M","","","28","","65",""
"2015-02-28","2015","02","28","†","-2.4","","-13.0","","-7.7","","25.7","","0.0","","","M","","M","","M","","","28","","96",""
"2015-03-01","2015","03","01","†","-5.3","","-22.9","","-14.1","","32.1","","0.0","","","M","","M","","M","","","","","<31",""
"2015-03-02","2015","03","02","†","-20.7","","-26.9","","-23.8","","41.8","","0.0","","","M","","M","","M","","","10","","50",""
"2015-03-03","2015","03","03","†","-7.9","","-21.7","","-14.8","","32.8","","0.0","","","M","","M","","M","","","9","","67",""
"2015-03-04","2015","03","04","†","-4.4","","-17.4","","-10.9","","28.9","","0.0","","","M","","M","","M","","","28","","76",""
"2015-03-05","2015","03","05","†","-16.9","","-22.5","","-19.7","","37.7","","0.0","","","M","","M","","M","","","10","","67",""
"2015-03-06","2015","03","06","†","-18.4","","-23.4","","-20.9","","38.9","","0.0","","","M","","M","","M","","","9","","70",""
"2015-03-07","2015","03","07","†","-17.1","","-22.8","","-20.0","","38.0","","0.0","","","M","","M","","M","","","10","","50",""
"2015-03-08","2015","03","08","†","-14.8","","-21.1","","-18.0","","36.0","","0.0","","","M","","M","","M","","","28","","56",""
"2015-03-09","2015","03","09","†","-21.1","","-25.1","","-23.1","","41.1","","0.0","","","M","","M","","M","","","27","","65",""
"2015-03-10","2015","03","10","†","-22.0","","-27.6","","-24.8","","42.8","","0.0","","","M","","M","","M","","","27","","63",""
"2015-03-11","2015","03","11","†","-27.0","","-33.3","","-30.2","","48.2","","0.0","","","M","","M","","M","","","","","<31",""
