"Station Name","KOMAKUK BEACH"
"Province","YUKON TERRITORY"
"Latitude","69.61"
"Longitude","-140.20"
"Elevation","13.20"
"Climate Identifier","2100682"
"WMO Identifier","71046"
"TC Identifier","WKM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","†","-29.5","","-34.1","","-31.8","","49.8","","0.0","","","M","","M","","M","","","9","","76",""
"2014-01-02","2014","01","02","†","-22.9","","-30.9","","-26.9","","44.9","","0.0","","","M","","M","","M","","","9","","52",""
"2014-01-03","2014","01","03","†","-23.2","","-29.8","","-26.5","","44.5","","0.0","","","M","","M","","M","","","10","","74",""
"2014-01-04","2014","01","04","†","-28.2","","-32.9","","-30.6","","48.6","","0.0","","","M","","M","","M","","","10","","85",""
"2014-01-05","2014","01","05","†","-26.3","","-32.5","","-29.4","","47.4","","0.0","","","M","","M","","M","","","10","","76",""
"2014-01-06","2014","01","06","†","-21.9","","-26.3","","-24.1","","42.1","","0.0","","","M","","M","","M","","","11","","93",""
"2014-01-07","2014","01","07","†","-16.0","","-23.6","","-19.8","","37.8","","0.0","","","M","","M","","M","","","26","","74",""
"2014-01-08","2014","01","08","†","","M","-24.2","E","","M","","M","","M","","M","","","","M","","","","M","","M"
"2014-01-09","2014","01","09","†","-22.1","","-26.2","","-24.2","","42.2","","0.0","","","M","","M","","M","","","","","<31",""
"2014-01-10","2014","01","10","†","-21.4","","-25.7","","-23.6","","41.6","","0.0","","","M","","M","","M","","","29","","87",""
"2014-01-11","2014","01","11","†","-20.1","","-26.7","","-23.4","","41.4","","0.0","","","M","","M","","M","","","26","","59",""
"2014-01-12","2014","01","12","†","-20.6","","-22.2","","-21.4","","39.4","","0.0","","","M","","M","","M","","","26","","67",""
"2014-01-13","2014","01","13","†","-21.2","","-30.6","","-25.9","","43.9","","0.0","","","M","","M","","M","","","27","","44",""
