"Station Name","KOMAKUK BEACH"
"Province","YUKON TERRITORY"
"Latitude","69.61"
"Longitude","-140.20"
"Elevation","13.20"
"Climate Identifier","2100682"
"WMO Identifier","71046"
"TC Identifier","WKM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","†","-19.2","","-26.3","","-22.8","","40.8","","0.0","","","M","","M","","M","","","10","","80",""
"2013-01-02","2013","01","02","†","-16.5","","-22.0","","-19.3","","37.3","","0.0","","","M","","M","","M","","","11","","78",""
"2013-01-03","2013","01","03","†","-18.3","","-22.3","","-20.3","","38.3","","0.0","","","M","","M","","M","","","1","","44",""
"2013-01-04","2013","01","04","†","-15.0","","-22.4","","-18.7","","36.7","","0.0","","","M","","M","","M","","","1","","52",""
"2013-01-05","2013","01","05","†","-17.1","","-22.4","","-19.8","","37.8","","0.0","","","M","","M","","M","","","10","","63",""
"2013-01-06","2013","01","06","†","-19.3","","-24.9","","-22.1","","40.1","","0.0","","","M","","M","","M","","","10","","44",""
"2013-01-07","2013","01","07","†","-19.5","","-29.6","","-24.6","","42.6","","0.0","","","M","","M","","M","","","10","","32",""
"2013-01-08","2013","01","08","†","-19.2","","-27.5","","-23.4","","41.4","","0.0","","","M","","M","","M","","","28","","59",""
"2013-01-09","2013","01","09","†","-17.9","","-24.7","","-21.3","","39.3","","0.0","","","M","","M","","M","","","27","E","57","E"
"2013-01-10","2013","01","10","†","-23.9","","-32.0","","-28.0","","46.0","","0.0","","","M","","M","","M","","","","","<31",""
